Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"SSC (UR)",
"Six Mile Swamp",0,
"Skennars Head",0,
"Skillion Flat",0,
"Skinners Shoot",0,
"Sleepy Hollow",0,
"Smeaton Grange",17,
"Smithfield (NSW)",11977,
"Smiths Creek (Clarence Valley - NSW)",0,
"Smiths Creek (Kyogle - NSW)",0,
"Smiths Creek (Tweed - NSW)",0,
"Smiths Lake",0,
"Smithtown",0,
"Snakes Plain",0,
"Snowball",0,
"Snowy Plain",0,
"Sodwalls",0,
"Sofala",0,
"Soldiers Point",0,
"Somersby",1064,
"Somerton (NSW)",0,
"South Albury",0,
"South Arm (Clarence Valley - NSW)",0,
"South Arm (Nambucca - NSW)",0,
"South Ballina",0,
"South Bathurst",0,
"South Bowenfels",0,
"South Coogee",5500,
"South Durras",0,
"South Golden Beach",0,
"South Grafton",0,
"South Granville",5500,
"South Gundagai",0,
"South Gundurimba",0,
"South Guyra",0,
"South Hurstville",5145,
"South Kempsey",0,
"South Lismore",0,
"South Littleton",0,
"South Maitland",0,
"South Maroota",557,
"South Murwillumbah",0,
"South Nowra",0,
"South Pambula",0,
"South Penrith",11788,
"South Tamworth",0,
"South Turramurra",3089,
"South Wentworthville",6200,
"South West Rocks",0,
"South Windsor",5893,
"South Wolumla",0,
"Southampton (NSW)",0,
"Southgate",0,
"Speers Point",0,
"Speewa",0,
"Spencer",304,
"Spicers Creek",0,
"Spicketts Creek",0,
"Splitters Creek",0,
"Spring Creek (NSW)",0,
"Spring Farm (NSW)",4304,
"Spring Flat",0,
"Spring Grove",0,
"Spring Hill (Cabonne - NSW)",0,
"Spring Hill (Wollongong - NSW)",0,
"Spring Mountain (NSW)",0,
"Spring Plains",0,
"Spring Ridge",0,
"Spring Terrace",0,
"Springdale (NSW)",0,
"Springdale Heights",0,
"Springfield (Central Coast - NSW)",4106,
"Springfield (Snowy Monaro Regional - NSW)",0,
"Springrange",0,
"Springside (NSW)",0,
"Springvale (Lithgow - NSW)",0,
"Springvale (Wagga Wagga - NSW)",0,
"Springwood (NSW)",8474,
"St Albans (NSW)",161,
"St Andrews (NSW)",5730,
"St Clair (Penrith - NSW)",19895,
"St Clair (Singleton - NSW)",0,
"St Fillans",0,
"St George (NSW)",0,
"St Georges Basin",0,
"St Helens Park",6604,
"St Huberts Island",1059,
"St Ives (NSW)",17301,
"St Ives Chase",3152,
"St Johns Park",6118,
"St Leonards (NSW)",5495,
"St Marys (NSW)",12201,
"St Peters (NSW)",3146,
"Stanborough",0,
"Stanbridge",0,
"Stanford Merthyr",0,
"Stanhope (NSW)",0,
"Stanhope Gardens",9160,
"Stanmore (NSW)",7940,
"Stannifer",0,
"Stannum",0,
"Stanwell Park",0,
"Stanwell Tops",0,
"State Mine Gully",0,
"Steam Plains",0,
"Steeple Flat",0,
"Stewarts Brook",0,
"Stewarts River",0,
"Stockinbingal",0,
"Stockrington",0,
"Stockton (NSW)",0,
"Stockyard Creek (NSW)",0,
"Stokers Siding",0,
"Stonehenge (NSW)",0,
"Stonequarry",0,
"Stony Chute",0,
"Stony Creek (Bega Valley - NSW)",0,
"Stony Creek (Mid-Western Regional - NSW)",0,
"Stony Crossing",0,
"Stotts Creek",0,
"Stratford (NSW)",0,
"Strathcedar",0,
"Stratheden",0,
"Strathfield (NSW)",25809,
"Strathfield South",3542,
"Stroud",0,
"Stroud Hill",0,
"Stroud Road",0,
"Stuart Town",0,
"Stuarts Point",0,
"Stubbo",0,
"Stud Park",0,
"Suffolk Park",0,
"Sugarloaf (NSW)",0,
"Summer Hill (Dungog - NSW)",0,
"Summer Hill (Inner West - NSW)",7306,
"Summer Hill Creek",0,
"Summer Island",0,
"Summerland Point",2498,
"Sun Valley (NSW)",229,
"Sunny Corner",0,
"Sunset Strip (NSW)",0,
"Sunshine (NSW)",0,
"Sunshine Bay",0,
"Suntop",0,
"Surf Beach (NSW)",0,
"Surfside",0,
"Surry Hills",16416,
"Sussex Inlet",0,
"Sutherland (NSW)",10822,
"Sutton (NSW)",0,
"Sutton Forest",0,
"Swan Bay (Port Stephens - NSW)",0,
"Swan Bay (Richmond Valley - NSW)",0,
"Swan Creek (NSW)",0,
"Swan Vale",0,
"Swanbrook",0,
"Swanhaven",0,
"Swans Crossing",0,
"Swansea (NSW)",0,
"Swansea Heads",0,
"Sweetmans Creek",0,
"Sydenham (NSW)",1144,
"Sydney",17252,
"Sydney Olympic Park",1737,
"Sylvania",10481,
"Sylvania Waters",3166,
"Tabbil Creek",0,
"Tabbimoble",0,
"Tabbita",0,
"Table Top",0,
"Tabulam",0,
"Tacoma",631,
"Tacoma South",250,
"Tahlee",0,
"Tahmoor",5068,
"Talarm",0,
"Talawanta",0,
"Talbingo",0,
"Tallawang",0,
"Tallimba",0,
"Tallong",0,
"Tallowal",0,
"Tallowwood Ridge",0,
"Tallwood",0,
"Tallwoods Village",0,
"Talmalmo",0,
"Talofa",0,
"Taloumbi",0,
"Tamarama",1622,
"Tamban",0,
"Tambar Springs",0,
"Tambaroora",0,
"Taminda",0,
"Tamworth",0,
"Tanglewood",0,
"Tanilba Bay",0,
"Tanja",0,
"Tannabar",0,
"Tannas Mount",0,
"Tantangara",0,
"Tantawangalo",0,
"Tantonan",0,
"Tapitallee",0,
"Tara (NSW)",0,
"Taradale (NSW)",0,
"Tarago",0,
"Taralga",0,
"Tarana",0,
"Tarban",0,
"Tarbuck Bay",0,
"Tarcutta",0,
"Taree",0,
"Taree South",0,
"Taren Point",1734,
"Tarlo",0,
"Tarraganda",0,
"Tarrawanna",0,
"Tarriaro",0,
"Tarro",0,
"Tascott",1603,
"Tatham",0,
"Tathra",0,
"Tatton",0,
"Taylors Arm",0,
"Taylors Beach (NSW)",0,
"Taylors Flat",0,
"Tea Gardens",0,
"Telarah",0,
"Telegraph Point",0,
"Telopea",5432,
"Temagog",0,
"Temora",0,
"Tempe",3556,
"Ten Mile Hollow",0,
"Tenambit",0,
"Tenandra",0,
"Tennyson (NSW)",387,
"Tennyson Point",1215,
"Tenterden (NSW)",0,
"Tenterfield",0,
"Teralba",0,
"Terania Creek",0,
"Terara",0,
"Teridgerie",0,
"Termeil",0,
"Terrabella",0,
"Terrace Creek",0,
"Terragon",0,
"Terramungamine",0,
"Terranora",0,
"Terreel",0,
"Terrey Hills",3035,
"Terrigal",11349,
"Terry Hie Hie",0,
"Teven",0,
"Tewinga",0,
"Texas (NSW)",0,
"Thalgarrah",0,
"Tharbogang",0,
"The Angle",0,
"The Bight",0,
"The Branch",0,
"The Brothers",0,
"The Channon",0,
"The Devils Wilderness",0,
"The Entrance",4004,
"The Entrance North",1472,
"The Freshwater",0,
"The Gap (Richmond Valley - NSW)",0,
"The Gap (Wagga Wagga - NSW)",0,
"The Glen (NSW)",0,
"The Gulf",0,
"The Hatch",0,
"The Hill",0,
"The Junction",0,
"The Lagoon",0,
"The Marra",0,
"The Meadows",0,
"The Oaks",2524,
"The Pilliga",0,
"The Pinnacles",0,
"The Pocket",0,
"The Ponds",11732,
"The Ridgeway",0,
"The Risk",0,
"The Rock",0,
"The Rocks (Bathurst Regional - NSW)",0,
"The Rocks (Sydney - NSW)",775,
"The Sandon",0,
"The Slopes",332,
"The Whiteman",0,
"Theresa Creek (NSW)",0,
"Theresa Park",535,
"Thirldene",0,
"Thirlmere",4043,
"Thirroul",0,
"Thora",0,
"Thornleigh",8467,
"Thornton (NSW)",0,
"Thrumster",0,
"Thuddungra",0,
"Thule",0,
"Thumb Creek",0,
"Thurgoona",0,
"Thyra",0,
"Tianjara",0,
"Tibbuc",0,
"Tibooburra",0,
"Tichborne",0,
"Tichular",0,
"Tighes Hill",0,
"Tilba Tilba",0,
"Tilbuster",0,
"Tilligerry Creek",0,
"Tilpa",0,
"Timbarra (NSW)",0,
"Timbillica",0,
"Timbumburi",0,
"Timor (NSW)",0,
"Tindarey",0,
"Tinderry",0,
"Tingha",0,
"Tingira Heights",0,
"Tinonee",0,
"Tinpot",0,
"Tintenbar",0,
"Tintinhull",0,
"Tiona",0,
"Tipperary (NSW)",0,
"Tiri",0,
"Tirrannaville",0,
"Titaatee Creek",0,
"Tocal (NSW)",0,
"Tocumwal",0,
"Tolland",0,
"Tolwong",0,
"Tomago",0,
"Tomakin",0,
"Tomalla",0,
"Tombong",0,
"Tomboye",0,
"Tomerong",0,
"Tomewin",0,
"Tomingley",0,
"Tomki",0,
"Toms Creek",0,
"Tonderburine",0,
"Tongarra",0,
"Toogong",0,
"Tooleybuc",0,
"Toolijooa",0,
"Tooloom",0,
"Tooloon",0,
"Tooma",0,
"Toongabbie (NSW)",14333,
"Toongi",0,
"Toonumbar",0,
"Tooranie",0,
"Tooraweenah",0,
"Toormina",0,
"Toorooka",0,
"Toothdale",0,
"Tootool",0,
"Toowoon Bay",526,
"Topi Topi",0,
"Toronto",0,
"Torrington (NSW)",0,
"Torryburn (Dungog - NSW)",0,
"Torryburn (Uralla - NSW)",0,
"Totnes Valley",0,
"Tottenham (NSW)",0,
"Touga",0,
"Toukley",4549,
"Towallum",0,
"Towamba",0,
"Townsend",0,
"Towradgi",0,
"Towrang",0,
"Tralee",0,
"Trangie",0,
"Tregeagle",0,
"Tregear",3883,
"Trenayr",0,
"Trentham Cliffs",0,
"Trewilga",0,
"Triamble",0,
"Triangle Flat",0,
"Trundle",0,
"Trungley Hall",0,
"Trunkey Creek",0,
"Tubbamurra",0,
"Tubbul",0,
"Tucabia",0,
"Tucki Tucki",0,
"Tuckombil",0,
"Tuckurimba",0,
"Tuena",0,
"Tuggerah",925,
"Tuggerawong",1274,
"Tugrabakh",0,
"Tullakool",0,
"Tullamore",0,
"Tullarwalla",0,
"Tullera",0,
"Tullibigeal",0,
"Tullimbar",0,
"Tulloona",0,
"Tullymorgan",0,
"Tumbarumba",0,
"Tumbi Umbi",5111,
"Tumblong",0,
"Tumbulgum",0,
"Tumorrama",0,
"Tumut",0,
"Tumut Plains",0,
"Tuncester",0,
"Tuncurry",0,
"Tunglebung",0,
"Tuntable Creek",0,
"Tuppal",0,
"Tura Beach",0,
"Turill",0,
"Turlinjah",0,
"Turners Flat",0,
"Turondale",0,
"Tuross",0,
"Tuross Head",0,
"Turramurra",11922,
"Turrawan",0,
"Turrella",2512,
"Turvey Park",0,
"Tweed Heads",0,
"Tweed Heads South",0,
"Tweed Heads West",0,
"Twelve Mile",0,
"Twelve Mile Creek",0,
"Twelve Mile Peg",0,
"Twenty Forests",0,
"Twin Rivers",0,
"Two Mile Flat",0,
"Tyagarah",0,
"Tyalgum",0,
"Tyalgum Creek",0,
"Tygalgah",0,
"Tyndale",0,
"Tyringham",0,
"Uarbry",0,
"Uki",0,
"Ulamambri",0,
"Ulan",0,
"Ulladulla",0,
"Ulmarra",0,
"Ulong",0,
"Ultimo",8846,
"Umina Beach",16735,
"Unanderra",0,
"Underbank",0,
"Undercliffe",0,
"Ungarie",0,
"Unumgar",0,
"Upper Allyn",0,
"Upper Bingara",0,
"Upper Burringbar",0,
"Upper Bylong",0,
"Upper Colo",58,
"Upper Coopers Creek",0,
"Upper Copmanhurst",0,
"Upper Corindi",0,
"Upper Crystal Creek",0,
"Upper Dartbrook",0,
"Upper Duck Creek",0,
"Upper Duroby",0,
"Upper Eden Creek",0,
"Upper Fine Flower",0,
"Upper Growee",0,
"Upper Horseshoe Creek",0,
"Upper Horton",0,
"Upper Kangaroo River",0,
"Upper Kangaroo Valley",0,
"Upper Karuah River",0,
"Upper Lansdowne",0,
"Upper Macdonald",28,
"Upper Main Arm",0,
"Upper Mangrove",0,
"Upper Manilla",0,
"Upper Mongogarie",0,
"Upper Myall",0,
"Upper Nile",0,
"Upper Orara",0,
"Upper Pappinbarra",0,
"Upper Rollands Plains",0,
"Upper Rouchel",0,
"Upper Taylors Arm",0,
"Upper Tooloom",0,
"Upper Turon",0,
"Upper Wilsons Creek",0,
"Upsalls Creek",0,
"Uralba",0,
"Uralla (NSW)",0,
"Urana",0,
"Urangeline",0,
"Urangeline East",0,
"Uranquinty",0,
"Urawilkie",0,
"Urbenville",0,
"Uriarra",0,
"Urila",0,
"Urliup",0,
"Urunga",0,
"Utungun",0,
"Vacy",0,
"Vale Of Clwydd",0,
"Valentine",0,
"Valery",0,
"Valla",0,
"Valla Beach",0,
"Valley Heights",1213,
"Varroville",113,
"Vaucluse",9333,
"Verges Creek",0,
"Verona",0,
"Villawood",6033,
"Vincentia",0,
"Vineyard",1163,
"Violet Hill",0,
"Vittoria (NSW)",0,
"Voyager Point",1666,
"Wadalba",2832,
"Wadbilliga",0,
"Wadeville",0,
"Wagga Wagga",0,
"Wagstaffe",224,
"Wahroonga",17364,
"Waitara",5939,
"Waitui",0,
"Wakefield",0,
"Wakeley",4745,
"Wakool",0,
"Walang",0,
"Walbundrie",0,
"Walcha",0,
"Walcha Road",0,
"Waldegrave",0,
"Walgett",0,
"Walla Walla",0,
"Wallabadah",0,
"Wallabi Point",0,
"Wallacetown",0,
"Wallacia",1627,
"Wallaga Lake",0,
"Wallagoot",0,
"Wallalong",0,
"Wallamore",0,
"Wallanbah",0,
"Wallangra",0,
"Wallanthery",0,
"Wallarah",364,
"Wallaringa",0,
"Wallarobba",0,
"Wallaroo (NSW)",0,
"Wallendbeen",0,
"Wallerawang",0,
"Walleroobie",0,
"Wallingat",0,
"Wallis Lake",0,
"Wallsend",0,
"Walmer (NSW)",0,
"Wamban",0,
"Wambangalang",0,
"Wamberal",6551,
"Wamboin",0,
"Wambool",0,
"Wambrook",0,
"Wanaaring",0,
"Wandandian",0,
"Wandella (NSW)",0,
"Wandera",0,
"Wandook",0,
"Wandsworth",0,
"Wang Wauk",0,
"Wanganella",0,
"Wanganui",0,
"Wangi Wangi",0,
"Wantabadgery",0,
"Wantagong",0,
"Wantiool",0,
"Wapengo",0,
"Warabrook",0,
"Waratah (NSW)",0,
"Waratah West",0,
"Warburn",0,
"Wardell",0,
"Wardrop Valley",0,
"Wards Mistake",0,
"Wards River",0,
"Wareemba",1546,
"Warialda",0,
"Warialda Rail",0,
"Warilla",0,
"Warkworth",0,
"Warners Bay",0,
"Warnervale",638,
"Warrabah",0,
"Warraderry",0,
"Warragai Creek",0,
"Warragamba",1241,
"Warragoon",0,
"Warrah",0,
"Warrah Creek",0,
"Warrah Ridge",0,
"Warral",0,
"Warranulla",0,
"Warrawee",2998,
"Warrawidgee",0,
"Warrawong",0,
"Warrazambil Creek",0,
"Warregah Island",0,
"Warrell Creek",0,
"Warren",0,
"Warri",0,
"Warriewood",7499,
"Warrimoo",2450,
"Warroo (NSW)",0,
"Warrumbungle",0,
"Warwick Farm",5883,
"Washpool (Clarence Valley - NSW)",0,
"Washpool (Mid-Coast - NSW)",0,
"Watagan",0,
"Watanobbi",3860,
"Waterfall",493,
"Waterloo (NSW)",14621,
"Watersleigh",0,
"Waterview",0,
"Waterview Heights",0,
"Watsons Bay",847,
"Watsons Creek (NSW)",0,
"Wattamolla",0,
"Wattamondara",0,
"Wattle Flat (NSW)",0,
"Wattle Grove (NSW)",8959,
"Wattle Ponds",0,
"Wattle Ridge (NSW)",0,
"Wattle Springs",0,
"Watton",0,
"Wauchope",0,
"Waugorah",0,
"Waukivory",0,
"Waverley (NSW)",4346,
"Waverly",0,
"Waverton",3026,
"Way Way",0,
"Wayo",0,
"Weabonga",0,
"Wean",0,
"Webbers Creek",0,
"Webbs Creek",48,
"Wedderburn (NSW)",631,
"Wee Jasper",0,
"Wee Waa",0,
"Weedallion",0,
"Weemelah",0,
"Weetaliba",0,
"Weethalle",0,
"Weilmoringle",0,
"Weismantels",0,
"Welaregang",0,
"Welby",0,
"Wellingrove",0,
"Wellington (NSW)",0,
"Wellington Vale",0,
"Wells Crossing",0,
"Wendoree Park",132,
"Wentworth (NSW)",0,
"Wentworth Falls",6077,
"Wentworth Point",6996,
"Wentworthville",11318,
"Werai",0,
"Wereboldera",0,
"Wermatong",0,
"Werombi",927,
"Werri Beach",0,
"Werrikimbe",0,
"Werrington",4027,
"Werrington County",3646,
"Werrington Downs",3249,
"Werris Creek",0,
"West Albury",0,
"West Ballina",0,
"West Bathurst",0,
"West Bungawalbin",0,
"West Coraki",0,
"West Gosford",1337,
"West Haven",0,
"West Hoxton",10007,
"West Kempsey",0,
"West Nowra",0,
"West Pennant Hills",16377,
"West Pymble",5299,
"West Ryde",13397,
"West Tamworth",0,
"West Wallsend",0,
"West Wiangaree",0,
"West Wollongong",0,
"West Wyalong",0,
"Westbrook (NSW)",0,
"Westdale (Snowy Valleys - NSW)",0,
"Westdale (Tamworth Regional - NSW)",0,
"Westleigh",4457,
"Westmead",16311,
"Weston (NSW)",0,
"Westwood (NSW)",0,
"Wetherill Park",6126,
"Wetuppa",0,
"Whalan",5975,
"Whale Beach",255,
"Wheeler Heights",2989,
"Wheeny Creek",18,
"Wheeo",0,
"Wherrol Flat",0,
"Whian Whian",0,
"Whiporie",0,
"White Cliffs",0,
"White Rock (NSW)",0,
"Whitebridge",0,
"Whiteman Creek",0,
"Whitlow",0,
"Whittingham",0,
"Whitton",0,
"Whoota",0,
"Wiagdon",0,
"Wiangaree",0,
"Wiarborough",0,
"Wickham (NSW)",0,
"Widden",0,
"Widgelli",0,
"Wilberforce (NSW)",3005,
"Wilbetree",0,
"Wilcannia",0,
"Wild Cattle Creek",0,
"Wildes Meadow",0,
"Wiley Park",10130,
"Willala",0,
"Willawarrin",0,
"Willbriggie",0,
"Willi Willi",0,
"Williamsdale",0,
"Williamtown",0,
"Willigobung",0,
"Willina",0,
"Willmot",2437,
"Willoughby (NSW)",6540,
"Willoughby East",1823,
"Willow Tree",0,
"Willow Vale (Kiama - NSW)",0,
"Willow Vale (Wingecarribee - NSW)",0,
"Willurah",0,
"Wilpinjong",0,
"Wilsons Creek",0,
"Wilton (NSW)",3085,
"Wimbledon",0,
"Wimborne",0,
"Winburndale",0,
"Windale",0,
"Windang",0,
"Windella",0,
"Windellama",0,
"Windera (NSW)",0,
"Windermere (NSW)",0,
"Windermere Park",0,
"Windeyer (NSW)",0,
"Windowie",0,
"Windradyne",0,
"Windsor (NSW)",1895,
"Windsor Downs",1183,
"Windy",0,
"Winegrove",0,
"Wingadee",0,
"Wingello",0,
"Wingen",0,
"Wingham",0,
"Winifred",0,
"Winmalee",6205,
"Winston Hills",11672,
"Winton (NSW)",0,
"Wirlinga",0,
"Wirraba",0,
"Wirragulla",0,
"Wirrimah",0,
"Wirrimbi",0,
"Wirrinya",0,
"Wisemans Creek",0,
"Wisemans Ferry",223,
"Wittitrin",0,
"Wog Wog (Bega Valley - NSW)",0,
"Wog Wog (Queanbeyan-Palerang Regional - NSW)",0,
"Woko",0,
"Wolgan Valley",0,
"Wollangambe",0,
"Wollar",0,
"Wollemi",0,
"Wolli Creek",6395,
"Wollogorang",0,
"Wollombi",0,
"Wollomombi",0,
"Wollongbar",0,
"Wollongong",0,
"Wollstonecraft",8323,
"Wollumboola",0,
"Wollun",0,
"Wolumla",0,
"Wombarra",0,
"Wombat",0,
"Wombat Creek (NSW)",0,
"Wombeyan Caves",0,
"Womboota",0,
"Womerah",0,
"Wonboyn",0,
"Wonboyn North",0,
"Wondabyne",6,
"Wondalga",0,
"Wongarbon",0,
"Wongawilli",0,
"Wongo Creek",0,
"Wongwibinda",0,
"Woodberry",0,
"Woodbine (NSW)",2738,
"Woodburn (Richmond Valley - NSW)",0,
"Woodburn (Shoalhaven - NSW)",0,
"Woodcroft (NSW)",6439,
"Woodenbong",0,
"Woodford (NSW)",1935,
"Woodford Island",0,
"Woodhill (NSW)",0,
"Woodhouselee",0,
"Woodlands (Eurobodalla - NSW)",0,
"Woodlands (Wingecarribee - NSW)",0,
"Woodlawn",0,
"Woodpark",1524,
"Woodrising",0,
"Woodside (NSW)",0,
"Woodsreef",0,
"Woodstock (Cowra - NSW)",0,
"Woodstock (Inverell - NSW)",0,
"Woodstock (Shoalhaven - NSW)",0,
"Woodview",0,
"Woodville (NSW)",0,
"Woody Head",0,
"Woolbrook",0,
"Woolgarlo",0,
"Woolgoolga",0,
"Wooli",0,
"Woollahra",7407,
"Woollamia",0,
"Woolloomooloo",4007,
"Woolners Arm",0,
"Woolomin",0,
"Woolooma",0,
"Woolooware",3963,
"Wooloweyah",0,
"Woolwich",816,
"Woomargama",0,
"Woombah",0,
"Woongarrah",5226,
"Woonona",0,
"Wootton",0,
"Wooyung",0,
"Worlds End (NSW)",0,
"Woronora",2199,
"Woronora Dam",0,
"Woronora Heights",2859,
"Worrigee",0,
"Worrowing Heights",0,
"Woy Woy",10641,
"Woy Woy Bay",416,
"Wrathall",0,
"Wrights Beach",0,
"Wrights Creek (NSW)",26,
"Wuuluman",0,
"Wyalong",0,
"Wyan",0,
"Wyanbene",0,
"Wyangala",0,
"Wyangle",0,
"Wybong",0,
"Wybung",0,
"Wyee",0,
"Wyee Point",0,
"Wylie Creek",0,
"Wylies Flat",0,
"Wymah",0,
"Wyndham (NSW)",0,
"Wyneden",0,
"Wyoming",10137,
"Wyong",4324,
"Wyong Creek",437,
"Wyongah",2020,
"Wyrallah",0,
"Yabbra",0,
"Yadboro",0,
"Yagon",0,
"Yagoona",18016,
"Yalbraith",0,
"Yallah",0,
"Yallaroi",0,
"Yalwal",0,
"Yamba (NSW)",0,
"Yambulla",0,
"Yanco",0,
"Yanderra",662,
"Yanga",0,
"Yankees Creek",0,
"Yannergee",0,
"Yantabulla",0,
"Yaouk",0,
"Yarara",0,
"Yarra",0,
"Yarrabandai",0,
"Yarrabin",0,
"Yarragal",0,
"Yarragrin",0,
"Yarragundry",0,
"Yarrahapinni",0,
"Yarramalong",341,
"Yarraman (NSW)",0,
"Yarramundi",838,
"Yarranbella",0,
"Yarrangobilly",0,
"Yarras (Bathurst Regional - NSW)",0,
"Yarras (Port Macquarie-Hastings - NSW)",0,
"Yarratt Forest",0,
"Yarravel",0,
"Yarrawa",0,
"Yarrawarrah",2735,
"Yarrawonga (NSW)",0,
"Yarrawonga Park",0,
"Yarrie Lake",0,
"Yarrow",0,
"Yarrowford",0,
"Yarrowitch",0,
"Yarrowyck",0,
"Yass",0,
"Yass River",0,
"Yathella",0,
"Yattalunga (NSW)",549,
"Yatte Yattah",0,
"Yaven Creek",0,
"Yelgun",0,
"Yellow Dam",0,
"Yellow Pinch",0,
"Yellow Rock (Blue Mountains - NSW)",1035,
"Yellow Rock (Shellharbour - NSW)",0,
"Yenda (NSW)",0,
"Yengo National Park",0,
"Yennora",1619,
"Yeoval",0,
"Yerong Creek",0,
"Yerranderie",6,
"Yerrinbool",0,
"Yerriyong",0,
"Yessabah",0,
"Yetholme",0,
"Yetman",0,
"Yippin Creek",0,
"Yoogali",0,
"Yorklea",0,
"Young",0,
"Yowie Bay",3074,
"Yowrie",0,
"Yullundry",0,
"Yuraygir",0,
"Zara",0,
"Zetland",10072,
"No usual address (NSW)",0,
"Migratory - Offshore - Shipping (NSW)",0,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
